"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15578","893212432","108","6312787153","8301725158","218.13985969667402","-1",,,"1.4","LINESTRING(126.5856173 45.7087075, 126.5867117 45.7080924, 126.5871186 45.7078291)"
"15579","893212432","108","8301725158","417643359","30.898093725908048","-1",,,"1.4","LINESTRING(126.5871186 45.7078291, 126.5873749 45.7077547)"
"15580","893212432","108","417643359","6312787156","31.22487364527257","-1",,,"1.4","LINESTRING(126.5873749 45.7077547, 126.5876467 45.7077063)"
"15581","893212433","108","3881555686","6312787160","35.368440144624614","-1",,,"1.4","LINESTRING(126.5876414 45.7079257, 126.5873487 45.708012)"
"15582","893212433","108","6312787160","8301725139","27.382317393665765","-1",,,"1.4","LINESTRING(126.5873487 45.708012, 126.5871343 45.7080962)"
"15583","893212433","108","8301725139","6312787161","192.6539651043548","-1",,,"1.4","LINESTRING(126.5871343 45.7080962, 126.5868086 45.7082391, 126.5857535 45.7088227)"
"15584","893212434","108","8301725139","9992146435","39.51621332608388","-1",,,"1.4","LINESTRING(126.5871343 45.7080962, 126.5869155 45.7082914)"
"15585","893212434","108","9992146435","9992146417","383.61652616706044","-1",,,"1.4","LINESTRING(126.5869155 45.7082914, 126.5868653 45.7083363, 126.5858424 45.7089097, 126.584419 45.7099426)"
"15586","893212434","108","9992146417","8301725144","55.0282016341004","-1",,,"1.4","LINESTRING(126.584419 45.7099426, 126.5840762 45.7101913)"
"15587","893212434","108","8301725144","8301725145","47.92166917087468","-1",,,"1.4","LINESTRING(126.5840762 45.7101913, 126.5836845 45.710316)"
"15588","893212434","108","8301725145","8301725148","320.83979368185607","-1",,,"1.4","LINESTRING(126.5836845 45.710316, 126.5816681 45.711754)"
"15589","893212434","108","8301725148","8301725149","136.20914807640617","-1",,,"1.4","LINESTRING(126.5816681 45.711754, 126.5811793 45.7121004, 126.5811017 45.7121784, 126.5810553 45.7122417, 126.5810289 45.7122775, 126.5810185 45.7123135, 126.5810116 45.7123554, 126.5810026 45.712402, 126.580997 45.7124376)"
"15590","893212435","108","8301725150","8301725152","442.8108452115748","-1",,,"1.4","LINESTRING(126.5806367 45.7119958, 126.5807189 45.7119992, 126.5807819 45.7119917, 126.5808555 45.7119761, 126.5809473 45.7119527, 126.5810245 45.7119264, 126.5835151 45.7101394)"
"15591","893212435","108","8301725152","8301725153","53.069474430171795","-1",,,"1.4","LINESTRING(126.5835151 45.7101394, 126.5837414 45.7098464)"
"15592","893212435","108","8301725153","9992146422","44.82081242708988","-1",,,"1.4","LINESTRING(126.5837414 45.7098464, 126.5840264 45.7096478)"
"15593","893212435","108","9992146422","8301725158","451.96967549852195","-1",,,"1.4","LINESTRING(126.5840264 45.7096478, 126.5855067 45.7086164, 126.5864137 45.7081381, 126.586668 45.7080208, 126.5871186 45.7078291)"
"15594","893244772","110","1170839527","3447794980","86.28503105767369","1",,,"1.6","LINESTRING(126.6315648 45.7412448, 126.6320517 45.7416657)"
"15595","893244772","110","3447794980","3447793153","351.13322608687645","1",,,"1.6","LINESTRING(126.6320517 45.7416657, 126.6321805 45.7417715, 126.6322741 45.7418708, 126.6323025 45.7419644, 126.632331 45.7420467, 126.6322862 45.7424411, 126.6322578 45.742634, 126.6322537 45.742773, 126.6322741 45.742878, 126.6323879 45.7431731, 126.6326264 45.7437736)"
"15596","893244794","108","1170839325","678569367","37.483694585297066","-1",,,"1.4","LINESTRING(126.629003 45.7530894, 126.6287534 45.7532471)"
"15597","893244795","110","406094311","406094306","240.47791637011338","-1",,,"1.6","LINESTRING(126.6269443 45.7523895, 126.6288891 45.7530457)"
"15598","893244796","108","2168403084","406094306","33.243717827396324","-1",,,"1.4","LINESTRING(126.6286656 45.7531839, 126.6288891 45.7530457)"
